15,1,0,7,38,71,1,10,
2,0,0,4,5,1,1,2,
17,1,0,16,36,66,2,14,
15,6,0,23,89,63,7,3,
1,1,0,0,1,0,13,1,
3,1,0,1,4,0,2,0,
3,0,0,11,12,0,1,1,
1,1,0,2,1,0,9,1,
3,1,0,1,3,3,3,3,
3,1,0,0,5,1,1,3,
7,1,0,0,13,0,1,7,
4,1,0,2,10,0,3,2,
8,1,0,4,36,8,1,7,
3,0,0,12,26,0,1,2,
3,1,0,0,12,0,5,2,
4,1,0,1,4,6,16,4,
4,1,0,7,18,0,1,3,
10,1,0,5,20,0,5,8,
2,1,0,3,2,1,8,2,
10,1,0,5,27,39,1,6,
5,1,0,11,30,0,1,2,
4,0,0,8,10,4,1,4,
6,2,0,3,13,7,7,4,
3,1,0,1,6,1,1,3,
4,0,0,13,18,4,1,3,
2,1,0,2,5,1,1,1,
2,1,0,2,6,1,1,1,
2,1,0,2,3,1,1,1,
2,1,0,2,5,1,1,1,
2,1,0,4,5,0,1,1,
2,1,0,2,4,0,1,1,
2,1,0,0,2,1,3,2,
7,1,0,5,13,15,9,7,
2,0,0,4,8,1,1,1,
3,1,0,0,7,0,2,3,
2,1,0,1,8,0,0,2,
1,1,0,1,1,0,17,1,
4,0,4,23,32,6,4,1,
4,2,0,0,7,4,27,2,
1,1,0,1,1,0,10,1,
4,1,0,2,4,6,7,4,
2,1,0,3,4,0,1,1,
8,0,0,5,21,0,5,8,
2,1,0,3,6,0,1,1,
4,1,0,4,16,0,1,3,
2,1,0,2,5,0,1,1,
4,1,0,3,21,0,0,1,
12,1,0,3,45,36,1,3,
1,1,0,1,2,0,8,1,
10,0,0,10,33,25,1,4,
15,1,0,9,39,0,3,13,
0,1,0,1,0,0,0,0,
4,0,0,15,23,6,2,3,
3,0,0,5,13,1,1,1,
8,0,0,1,16,0,2,6,
3,0,0,11,15,1,1,3,
6,1,2,3,8,9,5,3,
12,1,0,3,21,22,8,12,
8,0,0,12,26,10,1,7,
21,1,0,17,55,154,4,13,
8,1,0,0,9,0,4,8,
4,0,0,7,5,6,4,4,
5,0,1,5,12,4,8,5,
3,0,0,3,7,3,1,3,
19,1,0,17,55,125,7,17,
3,0,0,8,7,1,1,0,
3,1,0,1,26,0,1,3,
4,0,0,10,16,0,1,2,
2,0,0,4,5,1,1,2,
2,1,0,3,9,1,0,1,
17,1,2,15,30,72,10,7,
9,1,0,12,59,36,3,4,
5,0,0,3,7,6,2,1,
5,0,0,4,8,10,1,5,
10,2,0,0,18,35,4,8,
2,1,0,2,4,1,0,2,
7,1,0,7,29,11,1,5,
4,0,0,9,13,4,1,3,
2,1,0,4,19,0,1,2,
4,2,0,0,7,4,36,2,
3,1,0,12,13,1,1,3,
3,1,0,12,31,1,1,3,
10,1,0,7,33,0,8,10,
4,0,0,9,12,4,1,3,
3,1,0,3,11,0,1,1,
12,1,0,14,88,66,1,2,
2,0,0,2,3,0,1,2,
3,0,0,8,9,1,1,3,
3,0,0,4,8,3,1,1,
3,1,0,0,12,3,0,3,
5,0,0,18,19,10,1,5,
3,0,0,11,14,3,1,3,
6,1,0,0,11,5,1,6,
57,0,0,7,144,1082,6,44,
6,1,0,2,15,0,15,6,
4,1,0,1,12,0,4,2,
3,1,0,6,7,3,1,3,
10,2,0,1,27,37,65,7,
4,0,0,13,17,4,1,3,
3,0,0,9,7,1,1,0,
14,1,0,0,19,67,5,14,
7,1,0,2,17,0,2,7,
8,2,0,0,12,12,13,3,
4,1,0,1,12,0,22,4,
